x,y,z
-31.0,-33.2,30.7
-29.4,-35.6,29.2
-49.6,-22.7,20.3
-45.1,-28.9,18.4
-40.6,-33.2,16.5
-38.5,-35.6,15.6
-53.8,-22.7,-1.1
-48.9,-28.9,-1.1
-44.0,-33.2,-1.1
-41.8,-35.6,-1.1
-49.6,-22.7,-22.6
-45.1,-28.9,-20.6
-40.6,-33.2,-18.7
-38.5,-35.6,-17.8
-38.0,-22.7,-39.9
-34.5,-28.9,-36.4
-31.0,-33.2,-33.0
-29.4,-35.6,-31.4
-20.6,-22.7,-51.5
-18.7,-28.9,-47.0
-16.8,-33.2,-42.5
-15.9,-35.6,-40.4
0.8,-22.7,-55.7
0.8,-28.9,-50.9
0.8,-33.2,-46.0
0.8,-35.6,-43.7
22.3,-22.7,-51.5
20.4,-28.9,-47.0
18.4,-33.2,-42.5
17.6,-35.6,-40.4
39.6,-22.7,-39.9
36.1,-28.9,-36.4
32.7,-33.2,-33.0
31.1,-35.6,-31.4
51.2,-22.7,-22.6
46.7,-28.9,-20.6
42.2,-33.2,-18.7
40.2,-35.6,-17.8
42.5,-37.2,-1.1
37.3,-38.5,-1.1
24.6,-39.5,-1.1
0.8,-39.9,-1.1
39.3,-37.2,15.2
34.5,-38.5,13.2
22.7,-39.5,8.2
30.4,-37.2,28.5
26.8,-38.5,24.8
17.7,-39.5,15.8
17.2,-37.2,37.3
15.2,-38.5,32.6
10.2,-39.5,20.8
0.8,-37.2,40.6
0.8,-38.5,35.4
0.8,-39.5,22.6
-15.5,-37.2,37.3
-13.5,-38.5,32.6
-8.5,-39.5,20.8
-28.8,-37.2,28.5
-25.1,-38.5,24.8
-16.0,-39.5,15.8
-37.6,-37.2,15.2
-32.8,-38.5,13.2
-21.1,-39.5,8.2
-40.8,-37.2,-1.1
-35.7,-38.5,-1.1
-22.9,-39.5,-1.1
-37.6,-37.2,-17.5
-32.8,-38.5,-15.4
-21.1,-39.5,-10.4
-28.8,-37.2,-30.7
-25.1,-38.5,-27.0
-16.0,-39.5,-18.0
-15.5,-37.2,-39.6
-13.5,-38.5,-34.8
-8.5,-39.5,-23.0
0.8,-37.2,-42.8
0.8,-38.5,-37.6
0.8,-39.5,-24.9
17.2,-37.2,-39.6
15.2,-38.5,-34.8
10.2,-39.5,-23.0
30.4,-37.2,-30.7
26.8,-38.5,-27.0
17.7,-39.5,-18.0
39.3,-37.2,-17.5
34.5,-38.5,-15.4
22.7,-39.5,-10.4
-44.6,17.7,-1.1
-57.9,17.6,-1.1
-67.7,16.9,-1.1
-73.8,15.0,-1.1
-75.9,11.3,-1.1
-44.2,18.7,3.7
-58.3,18.6,3.7
-68.7,17.8,3.7
-75.1,15.6,3.7
-77.3,11.3,3.7
-43.2,20.9,5.3
-59.2,20.7,5.3
-70.8,19.7,5.3
-77.8,16.8,5.3
-80.2,11.3,5.3
-42.3,23.1,3.7
-60.1,22.9,3.7
-72.8,21.6,3.7
-80.5,18.1,3.7
-83.1,11.3,3.7
-41.8,24.1,-1.1
-60.5,23.9,-1.1
-73.8,22.5,-1.1
-81.8,18.7,-1.1
-84.4,11.3,-1.1
-42.3,23.1,-5.9
-60.1,22.9,-5.9
-72.8,21.6,-5.9
-80.5,18.1,-5.9
-83.1,11.3,-5.9
-43.2,20.9,-7.5
-59.2,20.7,-7.5
-70.8,19.7,-7.5
-77.8,16.8,-7.5
-80.2,11.3,-7.5
-44.2,18.7,-5.9
-58.3,18.6,-5.9
-68.7,17.8,-5.9
-75.1,15.6,-5.9
-77.3,11.3,-5.9
-74.8,5.5,-1.1
-71.3,-1.5,-1.1
-65.1,-8.5,-1.1
-56.0,-14.3,-1.1
-76.0,4.9,3.7
-72.2,-2.4,3.7
-65.4,-9.6,3.7
-55.6,-15.6,3.7
-78.7,3.7,5.3
-74.1,-4.2,5.3
-66.1,-11.9,5.3
-54.6,-18.6,5.3
-81.3,2.5,3.7
-75.9,-6.1,3.7
-66.8,-14.2,3.7
-53.6,-21.5,3.7
-82.6,1.9,-1.1
-76.8,-7.0,-1.1
-67.1,-15.2,-1.1
-53.2,-22.8,-1.1
-81.3,2.5,-5.9
-75.9,-6.1,-5.9
-66.8,-14.2,-5.9
-53.6,-21.5,-5.9
-78.7,3.7,-7.5
-74.1,-4.2,-7.5
-66.1,-11.9,-7.5
-54.6,-18.6,-7.5
-76.0,4.9,-5.9
-72.2,-2.4,-5.9
-65.4,-9.6,-5.9
-55.6,-15.6,-5.9
49.2,0.6,-1.1
62.8,3.8,-1.1
68.7,11.3,-1.1
71.9,20.4,-1.1
77.6,28.3,-1.1
49.2,-3.0,9.4
63.8,1.0,8.4
70.0,9.7,6.2
73.6,19.8,3.9
80.2,28.3,2.9
49.2,-11.1,13.0
66.1,-4.9,11.6
73.0,6.2,8.6
77.1,18.6,5.6
86.1,28.3,4.2
49.2,-19.2,9.4
68.4,-10.9,8.4
75.9,2.7,6.2
80.7,17.3,3.9
92.0,28.3,2.9
49.2,-22.8,-1.1
69.5,-13.6,-1.1
77.2,1.2,-1.1
82.3,16.8,-1.1
94.6,28.3,-1.1
49.2,-19.2,-11.7
68.4,-10.9,-10.6
75.9,2.7,-8.4
80.7,17.3,-6.1
92.0,28.3,-5.1
49.2,-11.1,-15.2
66.1,-4.9,-13.8
73.0,6.2,-10.8
77.1,18.6,-7.8
86.1,28.3,-6.4
49.2,-3.0,-11.7
63.8,1.0,-10.6
70.0,9.7,-8.4
73.6,19.8,-6.1
80.2,28.3,-5.1
79.6,29.5,-1.1
81.1,29.9,-1.1
81.6,29.5,-1.1
80.4,28.3,-1.1
82.5,29.6,2.6
83.8,30.0,2.1
83.9,29.6,1.5
82.2,28.3,1.3
88.8,29.7,3.9
89.7,30.2,3.2
88.9,29.8,2.4
86.1,28.3,2.1
95.0,29.9,2.6
95.6,30.5,2.1
93.9,30.0,1.5
90.0,28.3,1.3
97.9,29.9,-1.1
98.3,30.5,-1.1
96.1,30.1,-1.1
91.8,28.3,-1.1
95.0,29.9,-4.9
95.6,30.5,-4.3
93.9,30.0,-3.8
90.0,28.3,-3.5
88.8,29.7,-6.1
89.7,30.2,-5.4
88.9,29.8,-4.6
86.1,28.3,-4.3
82.5,29.6,-4.9
83.8,30.0,-4.3
83.9,29.6,-3.8
82.2,28.3,-3.5
0.8,49.7,-1.1
10.5,48.3,-1.1
10.1,44.9,-1.1
6.4,40.7,-1.1
6.5,36.9,-1.1
9.8,48.3,2.7
9.4,44.9,2.5
6.0,40.7,1.1
6.1,36.9,1.1
7.7,48.3,5.8
7.4,44.9,5.5
4.8,40.7,2.9
4.9,36.9,2.9
4.6,48.3,7.8
4.5,44.9,7.4
3.0,40.7,4.1
3.1,36.9,4.1
0.8,48.3,8.6
0.8,44.9,8.1
0.8,40.7,4.5
0.8,36.9,4.6
-3.0,48.3,7.8
-2.8,44.9,7.4
-1.4,40.7,4.1
-1.4,36.9,4.1
-6.1,48.3,5.8
-5.7,44.9,5.5
-3.1,40.7,2.9
-3.2,36.9,2.9
-8.1,48.3,2.7
-7.7,44.9,2.5
-4.3,40.7,1.1
-4.4,36.9,1.1
-8.9,48.3,-1.1
-8.4,44.9,-1.1
-4.8,40.7,-1.1
-4.9,36.9,-1.1
-8.1,48.3,-4.9
-7.7,44.9,-4.7
-4.3,40.7,-3.3
-4.4,36.9,-3.3
-6.1,48.3,-8.0
-5.7,44.9,-7.7
-3.1,40.7,-5.1
-3.2,36.9,-5.1
-3.0,48.3,-10.0
-2.8,44.9,-9.6
-1.4,40.7,-6.3
-1.4,36.9,-6.4
0.8,48.3,-10.8
0.8,44.9,-10.3
0.8,40.7,-6.7
0.8,36.9,-6.8
4.6,48.3,-10.0
4.5,44.9,-9.6
3.0,40.7,-6.3
3.1,36.9,-6.4
7.7,48.3,-8.0
7.4,44.9,-7.7
4.8,40.7,-5.1
4.9,36.9,-5.1
9.8,48.3,-4.9
9.4,44.9,-4.7
6.0,40.7,-3.3
6.1,36.9,-3.3
13.8,34.3,-1.1
24.3,32.6,-1.1
33.7,30.9,-1.1
37.8,28.3,-1.1
12.8,34.3,4.0
22.5,32.6,8.1
31.2,30.9,11.8
34.9,28.3,13.4
10.0,34.3,8.1
17.5,32.6,15.5
24.2,30.9,22.2
27.1,28.3,25.1
5.9,34.3,10.9
10.0,32.6,20.5
13.7,30.9,29.2
15.3,28.3,33.0
0.8,34.3,11.9
0.8,32.6,22.3
0.8,30.9,31.8
0.8,28.3,35.8
-4.3,34.3,10.9
-8.4,32.6,20.5
-12.1,30.9,29.2
-13.7,28.3,33.0
-8.4,34.3,8.1
-15.8,32.6,15.5
-22.5,30.9,22.2
-25.4,28.3,25.1
-11.1,34.3,4.0
-20.8,32.6,8.1
-29.5,30.9,11.8
-33.3,28.3,13.4
-12.1,34.3,-1.1
-22.6,32.6,-1.1
-32.0,30.9,-1.1
-36.1,28.3,-1.1
-11.1,34.3,-6.2
-20.8,32.6,-10.3
-29.5,30.9,-14.0
-33.3,28.3,-15.6
-8.4,34.3,-10.3
-15.8,32.6,-17.8
-22.5,30.9,-24.4
-25.4,28.3,-27.3
-4.3,34.3,-13.1
-8.4,32.6,-22.7
-12.1,30.9,-31.4
-13.7,28.3,-35.2
0.8,34.3,-14.1
0.8,32.6,-24.6
0.8,30.9,-34.0
0.8,28.3,-38.1
5.9,34.3,-13.1
10.0,32.6,-22.7
13.7,30.9,-31.4
15.3,28.3,-35.2
10.0,34.3,-10.3
17.5,32.6,-17.8
24.2,30.9,-24.4
27.1,28.3,-27.3
12.8,34.3,-6.2
22.5,32.6,-10.3
31.2,30.9,-14.0
34.9,28.3,-15.6
